,"(following, count)","(following, birth mean)","(following, birth std)","(following, birth min)","(following, birth max)","(following, death mean)","(following, death std)","(followers, count)","(followers, birth mean)","(followers, birth std)","(followers, birth min)","(followers, birth max)","(followers, death mean)","(followers, death std)"
Alex_Callinicos,2,1856.0,121.622366364,1770.0,1942.0,1920.0,125.865007051,0,,,,,,
Jean-Luc_Nancy,1,1889.0,,1889.0,1889.0,1976.0,,2,1964.5,6.36396103068,1960.0,1969.0,,
Johannes_Scotus_Eriugena,4,65.25,382.184401391,-428.0,480.0,113.0,373.068358347,3,1477.0,263.357171917,1260.0,1770.0,1541.0,260.190314962
Adam_Weishaupt,1,1723.0,,1723.0,1723.0,1789.0,,1,1932.0,,1932.0,1932.0,2007.0,
Antonio_Gramsci,4,1852.0,12.2882057274,1843.0,1866.0,1926.0,24.248711306,14,1940.3,19.9111917161,1897.0,1964.0,1985.6,23.6600929838
Otto_Weininger,1,1724.0,,1724.0,1724.0,1804.0,,2,1893.5,6.36396103068,1889.0,1898.0,1962.5,16.2634559673
Paul_Kurtz,3,1111.0,1332.98649656,-428.0,1902.0,1197.66666667,1338.71443308,0,,,,,,
Jan_Mukařovský,1,1857.0,,1857.0,1857.0,1913.0,,0,,,,,,
Carl_Stumpf,2,1809.5,40.3050865276,1781.0,1838.0,1882.5,48.7903679019,2,1872.5,19.091883092,1859.0,1886.0,1939.5,2.12132034356
Philipp_Mainländer,1,1788.0,,1788.0,1788.0,1860.0,,0,,,,,,
Galen_Johnson,1,1908.0,,1908.0,1908.0,1961.0,,0,,,,,,
Adam_Smith,8,1379.71428571,778.538098893,-384.0,1712.0,1443.14285714,779.091870614,13,1800.58333333,78.0762544898,1711.0,1968.0,1836.9,38.5153648994
Daniel_Dennett,4,1915.5,13.699148392,1900.0,1928.0,1988.0,16.9705627485,4,1955.66666667,9.07377172588,1949.0,1966.0,2011.0,
Emil_Lask,3,1811.66666667,76.2911091369,1724.0,1863.0,1885.0,70.9295425052,2,1889.0,,1889.0,1889.0,1976.0,
Srećko_Horvat,1,,,,,,,0,,,,,,
Joxe_Azurmendi,4,1811.0,82.0528285111,1724.0,1909.0,1884.0,85.2955645584,0,,,,,,
Gilles_Châtelet,2,1484.5,228.395490323,1323.0,1646.0,1549.0,236.173664916,1,,,,,,
